Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/21/2022,06/22/2022,Payment Thank You-Mobile,,Payment,300.00,
06/18/2022,06/20/2022,NAN XIANG EXPRESS,Food & Drink,Sale,-55.97,
06/18/2022,06/19/2022,Amazon.com*L69654EY3,Shopping,Sale,-11.27,
06/18/2022,06/19/2022,Amazon.com*M81LX1AF3,Shopping,Sale,-9.53,
06/16/2022,06/17/2022,Amazon.com,Shopping,Return,29.85,
06/16/2022,06/17/2022,WHOLEFDS KMQ #10499,Groceries,Sale,-57.50,
06/16/2022,06/16/2022,Amazon.com*M35BM9AS3,Shopping,Sale,-22.28,
06/16/2022,06/16/2022,Amazon.com*IG3U931P3,Shopping,Sale,-29.29,
06/16/2022,06/16/2022,Amazon.com*SN1RO3IQ3,Shopping,Sale,-8.99,
06/15/2022,06/16/2022,Amazon.com*LZ4H62JL3,Shopping,Sale,-29.85,
06/14/2022,06/15/2022,Amazon.com*R52XW4933,Shopping,Sale,-24.04,
06/14/2022,06/14/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,49.76,
06/14/2022,06/14/2022,Payment Thank You-Mobile,,Payment,1000.00,
06/13/2022,06/14/2022,AMZN Mktp US*G38FN6DH3,Shopping,Sale,-105.90,
06/12/2022,06/13/2022,AMZN Mktp US,Shopping,Return,92.08,
06/12/2022,06/13/2022,Amazon.com*9Y6LS03P3,Shopping,Sale,-59.11,
06/12/2022,06/13/2022,TST* BEN GONG'S TEA - ELL,Food & Drink,Sale,-13.78,
06/12/2022,06/13/2022,TST* BEN GONG'S TEA - GAI,Food & Drink,Sale,-25.24,
06/11/2022,06/12/2022,AMZN Mktp US*3H6SJ2CB3,Shopping,Sale,-92.08,
06/10/2022,06/12/2022,AMZN Mktp US*9E5637KH3,Shopping,Sale,-25.43,
06/10/2022,06/10/2022,AMZN Mktp US*062C31263,Shopping,Sale,-17.11,
06/09/2022,06/10/2022,Amazon.com*9D7IC4XZ3,Shopping,Sale,-11.41,
06/09/2022,06/10/2022,Amazon.com*024CH5S83,Shopping,Sale,-18.34,
06/09/2022,06/10/2022,Amazon.com*Z90HG1S33,Shopping,Sale,-16.42,
06/08/2022,06/09/2022,AMZN Mktp US*AY5VN4O33,Shopping,Sale,-90.10,
06/05/2022,06/06/2022,AMZN Mktp US*RE5QU9UY3,Shopping,Sale,-3.29,
06/04/2022,06/05/2022,AMZN Mktp US*7K1CJ1RE3,Shopping,Sale,-14.27,
06/04/2022,06/05/2022,Amazon.com*IR7OI1SF3,Shopping,Sale,-16.58,
06/03/2022,06/05/2022,AMZN Mktp US*DX3T12YG3,Shopping,Sale,-18.01,
06/05/2022,06/05/2022,Amazon.com*YD8ZO7953,Shopping,Sale,-5.34,
06/02/2022,06/02/2022,Blink,Shopping,Sale,-3.18,
06/01/2022,06/02/2022,AMZN Mktp US*KI14B16G3,Shopping,Sale,-9.53,
06/01/2022,06/02/2022,AMZN Mktp US*1X6RC3XZ2,Shopping,Sale,-21.19,
05/30/2022,06/01/2022,MAMA CHANG.,Food & Drink,Sale,-314.12,
05/31/2022,06/01/2022,ALEXA SKILLS*1X2719EQ2 AM,Shopping,Sale,-0.85,
05/30/2022,05/31/2022,TST* LAO SZE CHUAN,Food & Drink,Sale,-116.45,
05/30/2022,05/31/2022,Amazon.com*OD0W244X3,Shopping,Sale,-41.33,
05/29/2022,05/30/2022,AMZN Mktp US*736IC5WZ3,Shopping,Sale,-37.09,
05/29/2022,05/30/2022,Amazon.com*EG64O6Q13,Shopping,Sale,-21.43,
05/25/2022,05/25/2022,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,29.29,
05/20/2022,05/22/2022,Payment Thank You-Mobile,,Payment,1800.00,
05/18/2022,05/19/2022,Amazon.com*1L76368F0,Shopping,Sale,-15.92,
05/18/2022,05/19/2022,Amazon.com*1R0TT22R1,Shopping,Sale,-26.50,
05/17/2022,05/18/2022,Amazon.com*1L82G8GH0,Shopping,Sale,-13.39,
05/16/2022,05/17/2022,CAMP BOW WOW COLUMBIA MD,Personal,Sale,-318.00,
05/15/2022,05/17/2022,Mai Place Asian Bistro,Food & Drink,Sale,-144.00,
05/16/2022,05/17/2022,Amazon.com*1L26U4XY2,Shopping,Sale,-11.27,
05/16/2022,05/17/2022,AMZN Mktp US*1L8H320U0,Shopping,Sale,-24.87,
05/17/2022,05/17/2022,AMZN Mktp US*1L1M21P10,Shopping,Sale,-40.27,
05/13/2022,05/16/2022,ASADERO BALLARD,Food & Drink,Sale,-148.00,
05/14/2022,05/16/2022,WSFERRIES- WEB SALES,Travel,Sale,-30.15,
05/15/2022,05/16/2022,CKE*KOKOPELLI GRILL PORT,Food & Drink,Sale,-128.00,
05/13/2022,05/13/2022,Amazon.com*132YX1RC0,Shopping,Sale,-9.99,
05/09/2022,05/10/2022,AMZN Mktp US*1L5661H41,Shopping,Sale,-12.72,
05/09/2022,05/09/2022,Amazon.com*134P20100,Shopping,Sale,-22.21,
05/09/2022,05/09/2022,Amazon.com*1341V0PF0,Shopping,Sale,-21.19,
05/09/2022,05/09/2022,AMZN Mktp US*137D86GC2,Shopping,Sale,-14.53,
05/07/2022,05/08/2022,AMZN Mktp US*1L2F66JZ1,Shopping,Sale,-21.19,
05/07/2022,05/08/2022,AMZN Digital*132LJ0TU2,Shopping,Sale,-15.89,
05/06/2022,05/08/2022,AMZN Mktp US*1L5787OH1,Shopping,Sale,-12.71,
05/05/2022,05/06/2022,Amazon.com*130VD9O22,Shopping,Sale,-8.87,
05/02/2022,05/02/2022,Blink,Shopping,Sale,-3.18,
04/29/2022,05/01/2022,JC JC HVAC MECHANICAL,Home,Sale,-550.50,
05/01/2022,05/01/2022,Amazon.com*1Q1HX5092,Shopping,Sale,-8.99,
